nome;cpf;id;turno;setor;cargaHoraria
Luiz Felipe Carvalho;547.721.786-35;424;manhã;UTI;6
André Nunes;625.266.844-39;480;tarde;Triagem;6
Maria Fernanda Alves;216.521.329-02;331;noite;Quarto;8
Pietro Campos;751.408.400-22;478;madrugada;UTI;4
Isabella Silveira;583.771.210-00;297;manhã;Triagem;8
Bruna Monteiro;235.586.656-27;398;tarde;Quarto;7
Calebe Viana;479.788.266-27;108;noite;UTI;5
Vitor Gonçalves;825.604.315-64;102;madrugada;Triagem;8
Davi Lucas da Rosa;268.661.642-30;496;manhã;Quarto;6
Stephany Cardoso;456.272.527-31;356;tarde;UTI;5
Mariana Campos;295.209.345-88;365;noite;Triagem;7
Amanda das Neves;947.160.114-29;202;madrugada;Quarto;7
Emilly Barbosa;318.627.321-83;397;manhã;UTI;5
Ana Luiza Lopes;678.372.177-99;219;tarde;Triagem;8
Sarah da Luz;565.963.625-07;284;noite;Quarto;7
Matheus Aragão;670.842.755-92;427;madrugada;UTI;6
