nome;cpf;id;turno;tipoFuncionario
Rodrigo Nunes;950.780.530-34;1396;Manhã;Médico(a)
Davi Lucca Moura;183.559.410-71;1935;Tarde;Médico(a)
Miguel da Mota;200.482.550-25;1785;Noite;Médico(a)
Yuri Dias;086.963.790-80;1015;Manhã;Médico(a)
Francisco Silveira;643.323.150-06;1397;Tarde;Médico(a)
Levi Melo;554.992.650-46;1506;Noite;Médico(a)
Diogo Martins;797.811.410-42;1605;Manhã;Médico(a)
Alexia Almeida;009.150.860-69;1137;Tarde;Médico(a)
Lorena Porto;659.664.570-34;1298;Noite;Médico(a)
Thales Monteiro;431.973.520-09;1910;Manhã;Médico(a)
Cauã Novaes;030.229.260-81;1984;Tarde;Médico(a)
Vitor Monteiro;300.931.270-90;1603;Noite;Médico(a)
Juliana da Cruz;901.640.340-05;1938;Manhã;Médico(a)
Breno Lima;456.465.490-00;1864;Tarde;Médico(a)
Sra. Alana Ferreira;777.737.780-94;1421;Noite;Médico(a)
Sofia Pinto;042.368.430-21;1472;Manhã;Médico(a)
Theo Silveira;455.559.910-10;1154;Tarde;Médico(a)
Thomas Alves;056.982.090-14;1147;Noite;Médico(a)
Maria Alice Campos;091.628.670-32;1117;Manhã;Médico(a)
Brenda das Neves;893.647.750-15;1348;Tarde;Médico(a)
Alexia Araújo;734.051.540-22;1477;Noite;Médico(a)
Leandro Ferreira;377.204.430-12;1415;Manhã;Médico(a)
Rebeca da Conceição;326.728.140-74;1112;Tarde;Médico(a)
Helena Caldeira;748.209.540-32;1657;Noite;Médico(a)
Giovanna Nogueira;895.267.240-20;1744;Manhã;Médico(a)
Ana Beatriz da Rosa;887.195.090-90;1035;Tarde;Médico(a)
Nina Farias;308.668.930-75;1183;Noite;Médico(a)
Yuri Costela;872.397.160-66;1935;Manhã;Médico(a)
Pietra Gomes;709.035.510-12;1295;Tarde;Médico(a)
Agatha da Paz;937.792.580-05;1268;Noite;Médico(a)
Lucas Freitas;631.590.370-37;1259;Manhã;Médico(a)
Eduarda Lima;593.200.330-80;1795;Tarde;Médico(a)
Julia da Mata;088.726.750-57;1550;Noite;Médico(a)
Larissa Rocha;410.331.710-85;1497;Manhã;Médico(a)
Lucas Gabriel Farias;179.290.070-81;1835;Tarde;Médico(a)
Enzo Pires;419.803.100-25;1388;Noite;Médico(a)
Fernanda Pinto;089.197.660-45;1292;Manhã;Médico(a)
Pedro Miguel Lima;095.691.430-61;1792;Tarde;Médico(a)
Lara Fogaça;986.536.500-67;1888;Noite;Médico(a)
Luigi da Costa;511.352.030-67;1603;Manhã;Médico(a)
Caroline Sales;278.829.880-30;1326;Tarde;Médico(a)
Alícia Gomes;305.010.290-01;1769;Noite;Médico(a)
Melissa Rocha;654.616.650-04;1092;Manhã;Médico(a)
Maria Clara das Neves;022.548.790-06;1084;Tarde;Médico(a)
Yago Ramos;798.222.780-55;1496;Noite;Médico(a)
Mariane Azevedo;471.445.760-89;1677;Manhã;Médico(a)
João Lucas Rocha;878.625.470-71;1436;Tarde;Médico(a)
Felipe Campos;615.470.570-09;1165;Noite;Médico(a)
Ana Beatriz Barbosa;560.385.700-55;1061;Manhã;Médico(a)
Alice Martins;706.428.080-90;1013;Tarde;Médico(a)
Luiz Felipe Carvalho;547.721.786-35;424;manhã;Enfermeiro(a)
André Nunes;625.266.844-39;480;tarde;Enfermeiro(a)
Maria Fernanda Alves;216.521.329-02;331;noite;Enfermeiro(a)
Pietro Campos;751.408.400-22;478;madrugada;Enfermeiro(a)
Isabella Silveira;583.771.210-00;297;manhã;Enfermeiro(a)
Bruna Monteiro;235.586.656-27;398;tarde;Enfermeiro(a)
Calebe Viana;479.788.266-27;108;noite;Enfermeiro(a)
Vitor Gonçalves;825.604.315-64;102;madrugada;Enfermeiro(a)
Davi Lucas da Rosa;268.661.642-30;496;manhã;Enfermeiro(a)
Stephany Cardoso;456.272.527-31;356;tarde;Enfermeiro(a)
Mariana Campos;295.209.345-88;365;noite;Enfermeiro(a)
Amanda das Neves;947.160.114-29;202;madrugada;Enfermeiro(a)
Emilly Barbosa;318.627.321-83;397;manhã;Enfermeiro(a)
Ana Luiza Lopes;678.372.177-99;219;tarde;Enfermeiro(a)
Sarah da Luz;565.963.625-07;284;noite;Enfermeiro(a)
Matheus Aragão;670.842.755-92;427;madrugada;Enfermeiro(a)
Milena Rezende;172.585.790-10;13;manhã;Secretário(a)
Davi Cavalcanti;613.475.900-72;17;tarde;Secretário(a)
Luiz Felipe Cardoso;549.108.750-50;29;noite;Secretário(a)
Benjamin Mendes;704.986.550-83;40;madrugada;Secretário(a)
Catarina Pires;609.737.920-00;7;manhã;Secretário(a)
Marina Teixeira;790.225.880-68;42;tarde;Secretário(a)
Agatha Gomes;804.430.430-43;2;noite;Secretário(a)
Antônio Freitas;971.159.590-72;24;madrugada;Secretário(a)
Ana Carolina da Paz;993.334.640-77;12;manhã;Secretário(a)
Felipe Vieira;040.762.370-13;41;tarde;Secretário(a)
Pedro Henrique Fogaça;928.997.880-51;25;noite;Secretário(a)
Luiz Otávio Vieira;622.257.980-95;26;madrugada;Secretário(a)
