nome;cpf;id;turno;CRM;Especialidade
Rodrigo Nunes;950.780.530-34;1396;Manhã;12833;Pediatria
Davi Lucca Moura;183.559.410-71;1935;Tarde;13108;Ginecologia
Miguel da Mota;200.482.550-25;1785;Noite;13273;Anestesiologista
Yuri Dias;086.963.790-80;1015;Manhã;13363;Otorrinolaringologista
Francisco Silveira;643.323.150-06;1397;Tarde;13485;Dermatologista
Levi Melo;554.992.650-46;1506;Noite;13756;Cardiologista
Diogo Martins;797.811.410-42;1605;Manhã;15100;Oncologista
Alexia Almeida;009.150.860-69;1137;Tarde;18749;Ortopedista
Lorena Porto;659.664.570-34;1298;Noite;20152;Neurologista
Thales Monteiro;431.973.520-09;1910;Manhã;20932;Endocrinologista
Cauã Novaes;030.229.260-81;1984;Tarde;21993;Oncologista
Vitor Monteiro;300.931.270-90;1603;Noite;22327;Oftalmologista
Juliana da Cruz;901.640.340-05;1938;Manhã;22466;Urologista
Breno Lima;456.465.490-00;1864;Tarde;23085;Anestesiologista
Sra. Alana Ferreira;777.737.780-94;1421;Noite;23364;Pediatria
Sofia Pinto;042.368.430-21;1472;Manhã;23558;Oftalmologista
Theo Silveira;455.559.910-10;1154;Tarde;24968;Dermatologista
Thomas Alves;056.982.090-14;1147;Noite;25007;Oncologista
Maria Alice Campos;091.628.670-32;1117;Manhã;25184;Pediatria
Brenda das Neves;893.647.750-15;1348;Tarde;26348;Endocrinologista
Alexia Araújo;734.051.540-22;1477;Noite;26947;Neurologista
Leandro Ferreira;377.204.430-12;1415;Manhã;27019;Cardiologista
Rebeca da Conceição;326.728.140-74;1112;Tarde;33288;Otorrinolaringologista
Helena Caldeira;748.209.540-32;1657;Noite;33562;Anestesiologista
Giovanna Nogueira;895.267.240-20;1744;Manhã;36359;Urologista
Ana Beatriz da Rosa;887.195.090-90;1035;Tarde;36856;Neurologista
Nina Farias;308.668.930-75;1183;Noite;37142;Ginecologia
Yuri Costela;872.397.160-66;1935;Manhã;37950;Oftalmologista
Pietra Gomes;709.035.510-12;1295;Tarde;38053;Otorrinolaringologista
Agatha da Paz;937.792.580-05;1268;Noite;38945;Dermatologista
Lucas Freitas;631.590.370-37;1259;Manhã;39028;Urologista
Eduarda Lima;593.200.330-80;1795;Tarde;39713;Endocrinologista
Julia da Mata;088.726.750-57;1550;Noite;43208;Cardiologista
Larissa Rocha;410.331.710-85;1497;Manhã;43216;Pediatria
Lucas Gabriel Farias;179.290.070-81;1835;Tarde;43394;Neurologista
Enzo Pires;419.803.100-25;1388;Noite;44280;Ginecologia
Fernanda Pinto;089.197.660-45;1292;Manhã;44790;Oftalmologista
Pedro Miguel Lima;095.691.430-61;1792;Tarde;45214;Endocrinologista
Lara Fogaça;986.536.500-67;1888;Noite;46858;Oncologista
Luigi da Costa;511.352.030-67;1603;Manhã;48600;Anestesiologista
Caroline Sales;278.829.880-30;1326;Tarde;48708;Cardiologista
Alícia Gomes;305.010.290-01;1769;Noite;49074;Dermatologista
Melissa Rocha;654.616.650-04;1092;Manhã;50508;Otorrinolaringologista
Maria Clara das Neves;022.548.790-06;1084;Tarde;50673;Urologista
Yago Ramos;798.222.780-55;1496;Noite;52638;Oftalmologista
Mariane Azevedo;471.445.760-89;1677;Manhã;52652;Endocrinologista
João Lucas Rocha;878.625.470-71;1436;Tarde;53044;Pediatria
Felipe Campos;615.470.570-09;1165;Noite;53604;Oncologista
Ana Beatriz Barbosa;560.385.700-55;1061;Manhã;55434;Ginecologia
Alice Martins;706.428.080-90;1013;Tarde;55721;Dermatologista
