nome;cpf;id;turno
Milena Rezende;172.585.790-10;13;manhã
Davi Cavalcanti;613.475.900-72;17;tarde
Luiz Felipe Cardoso;549.108.750-50;29;noite
Benjamin Mendes;704.986.550-83;40;madrugada
Catarina Pires;609.737.920-00;7;manhã
Marina Teixeira;790.225.880-68;42;tarde
Agatha Gomes;804.430.430-43;2;noite
Antônio Freitas;971.159.590-72;24;madrugada
Ana Carolina da Paz;993.334.640-77;12;manhã
Felipe Vieira;040.762.370-13;41;tarde
Pedro Henrique Fogaça;928.997.880-51;25;noite
Luiz Otávio Vieira;622.257.980-95;26;madrugada
